id_sentimen,id_tokoh,id_wilayah,platform,raw_text,sentiment_label,keyword_category,url_postingan,created_at,tanggal_mentah,tipe_kemarahan,target_serangan,wilayah
2847,2,,TikTok,ora pas bro rakyatmu mangan kangelan malah Ono opsen2 segala Ra jeli blas,Negatif,,,2026-02-25 19:46:39.483484+00:00,1 h yang lalu,Beban Ekonomi,Institusi (Bapenda/Samsat),Pekalongan/Pantura (G)
3036,3,,Instagram,"Harusnya yang minta maaf bukan maskot ini sih tapi fotonya Ahmad Lutfi , kalau berani dan mengakui kesalahan sih tapi😂",Negatif,,,2026-02-25 19:46:39.483484+00:00,"Harusnya yang minta maaf bukan maskot ini sih tapi fotonya Ahmad Lutfi , kalau berani dan mengakui kesalahan sih tapi😂",Lainnya,Gubernur,Lainnya/Jateng
2769,2,,TikTok,ra gagas...tak pilih jebule gawe rekoso sin.,Negatif,,,2026-02-25 19:46:39.483484+00:00,22 j yang lalu,Kekecewaan Politik,Gubernur,Lainnya/Jateng
2821,2,,TikTok,"ndak usah dipilih lagi besok .bikin semrawut ,bikin sengsara rakyat kecil",Negatif,,,2026-02-25 19:46:39.483484+00:00,1 h yang lalu,Kekecewaan Politik,Gubernur,Lainnya/Jateng
61,1,,TikTok,opsen dihapus pak,Negatif,,,2026-02-25 19:46:39.483484+00:00,2 h yang lalu,Lainnya,Institusi (Bapenda/Samsat),Lainnya/Jateng
3339,3,,Instagram,Nyesel aku wes bayar disek wingi januari,Negatif,,,2026-02-25 19:46:39.483484+00:00,Nyesel aku wes bayar disek wingi januari,Kekecewaan Politik,Gubernur,Lainnya/Jateng
2824,2,,TikTok,"undang undang di bikin manusia yg di gaji oleh rakyat, tapi yg bikin undang undang mslah mencekik rakyat. lebih baik stop stop stop bayar pajak.",Negatif,,,2026-02-25 19:46:39.483484+00:00,1 h yang lalu,Beban Ekonomi,Institusi (Bapenda/Samsat),Pekalongan/Pantura (G)
3832,3,,Instagram,KEKUASAAN  adalah SUMBER HOAX terbaik 😂😂😂😂 Itu kalimatnya siapa hayoooo....,Negatif,,,2026-02-25 19:46:39.483484+00:00,KEKUASAAN  adalah SUMBER HOAX terbaik 😂😂😂😂 Itu kalimatnya siapa hayoooo....,Lainnya,Pemerintahan,Lainnya/Jateng
362,1,,TikTok,"SUMPAH DEMI TUHAN PILKADA KEMARIN SAYA GAK PILIH DIA,,, DAN SAYA MERASA BANGGA😂😂😂😂😂",Negatif,,,2026-02-25 19:46:39.483484+00:00,6 h yang lalu,Kekecewaan Politik,Gubernur,Lainnya/Jateng
908,1,,TikTok,sok Ojo dipilih,Negatif,,,2026-02-25 19:46:39.483484+00:00,2-13,Kekecewaan Politik,Gubernur,Lainnya/Jateng
1000,1,,TikTok,dlu dipilih ya nikmati aja bos.....,Negatif,,,2026-02-25 19:46:39.483484+00:00,1 m yang lalu,Kekecewaan Politik,Gubernur,Lainnya/Jateng
1035,1,,TikTok,"lha wong di pilih² dwe, sakniki pengen demo.😁",Negatif,,,2026-02-25 19:46:39.483484+00:00,1 m yang lalu,Kekecewaan Politik,Gubernur,Lainnya/Jateng
